META DATA:
66 (объем бочки)
33 (текущий объем воды в бочке)
2020-08-24T01:19:44.406Z - [username3] - wanna scoop 39| (фэйл)
2021-06-04T19:19:44.478Z - [username4] - wanna scoop 11| (успех)
2021-06-04T20:19:44.478Z - [username8] - wanna scoop 20| (фэйл)
2021-06-04T21:19:44.478Z - [username5] - wanna scoop 46| (фэйл)
2021-06-04T22:19:44.478Z - [username1] - wanna scoop 17| (успех)
2021-06-04T23:19:44.478Z - [username7] - wanna top up 15| (успех)
2021-06-05T00:19:44.478Z - [username2] - wanna scoop 39| (фэйл)
2021-06-05T01:19:44.478Z - [username6] - wanna scoop 12| (успех)
2021-06-05T02:19:44.478Z - [username10] - wanna scoop 31| (фэйл)
2021-06-05T03:19:44.478Z - [username8] - wanna top up 42| (успех)
2021-06-05T04:19:44.478Z - [username5] - wanna top up 36| (фэйл)
2021-06-05T05:19:44.478Z - [username7] - wanna top up 37| (фэйл)
2021-06-05T06:19:44.478Z - [username9] - wanna scoop 48| (фэйл)
2021-06-05T07:19:44.478Z - [username3] - wanna scoop 19| (успех)
2021-06-05T08:19:44.478Z - [username2] - wanna top up 33| (успех)
2021-06-05T09:19:44.478Z - [username9] - wanna scoop 46| (успех)
2021-06-05T10:19:44.478Z - [username6] - wanna scoop 21| (фэйл)
2021-06-05T11:19:44.478Z - [username10] - wanna scoop 45| (фэйл)
2021-06-05T12:19:44.478Z - [username1] - wanna scoop 29| (фэйл)
2021-06-05T13:19:44.478Z - [username2] - wanna top up 36| (успех)
2021-06-05T14:19:44.478Z - [username9] - wanna scoop 13| (успех)
2021-06-05T15:19:44.478Z - [username2] - wanna scoop 22| (успех)
2021-06-05T16:19:44.478Z - [username10] - wanna top up 10| (успех)
2021-06-05T17:19:44.478Z - [username2] - wanna scoop 17| (успех)
2021-06-05T18:19:44.479Z - [username8] - wanna top up 33| (успех)
2021-06-05T19:19:44.479Z - [username9] - wanna scoop 49| (фэйл)
2021-06-05T20:19:44.479Z - [username9] - wanna top up 26| (успех)
2021-06-05T21:19:44.479Z - [username9] - wanna top up 44| (фэйл)
2021-06-05T22:19:44.479Z - [username8] - wanna top up 21| (фэйл)
2021-06-05T23:19:44.479Z - [username5] - wanna top up 29| (фэйл)
2021-06-06T00:19:44.479Z - [username6] - wanna scoop 11| (успех)
2021-06-06T01:19:44.479Z - [username9] - wanna scoop 48| (успех)
2021-06-06T02:19:44.479Z - [username7] - wanna top up 30| (успех)
2021-06-06T03:19:44.479Z - [username4] - wanna scoop 30| (успех)
2021-06-06T04:19:44.479Z - [username3] - wanna scoop 49| (фэйл)
2021-06-06T05:19:44.479Z - [username3] - wanna scoop 18| (фэйл)
2021-06-06T06:19:44.479Z - [username4] - wanna scoop 14| (фэйл)
2021-06-06T07:19:44.479Z - [username4] - wanna scoop 21| (фэйл)
2021-06-06T08:19:44.479Z - [username4] - wanna top up 45| (успех)
2021-06-06T09:19:44.479Z - [username10] - wanna scoop 19| (успех)
2021-06-06T10:19:44.479Z - [username5] - wanna scoop 22| (успех)
2021-06-06T11:19:44.479Z - [username6] - wanna top up 48| (успех)
2021-06-06T12:19:44.479Z - [username10] - wanna scoop 23| (успех)
2021-06-06T13:19:44.479Z - [username6] - wanna scoop 31| (успех)
2021-06-06T14:19:44.479Z - [username10] - wanna scoop 44| (фэйл)
2021-06-06T15:19:44.479Z - [username7] - wanna scoop 43| (фэйл)
2021-06-06T16:19:44.479Z - [username8] - wanna scoop 48| (фэйл)
2021-06-06T17:19:44.479Z - [username10] - wanna top up 21| (успех)
2021-06-06T18:19:44.479Z - [username10] - wanna scoop 16| (успех)
2021-06-06T19:19:44.479Z - [username9] - wanna scoop 34| (фэйл)
2021-06-06T20:19:44.479Z - [username6] - wanna top up 42| (успех)
2021-06-06T21:19:44.479Z - [username3] - wanna scoop 19| (успех)
2021-06-06T22:19:44.479Z - [username10] - wanna scoop 42| (фэйл)
2021-06-06T23:19:44.479Z - [username5] - wanna scoop 34| (фэйл)
2021-06-07T00:19:44.479Z - [username4] - wanna top up 18| (успех)
2021-06-07T01:19:44.479Z - [username4] - wanna scoop 34| (успех)
2021-06-07T02:19:44.479Z - [username5] - wanna top up 44| (успех)
2021-06-07T03:19:44.479Z - [username7] - wanna scoop 35| (успех)
2021-06-07T04:19:44.479Z - [username8] - wanna scoop 15| (успех)
2021-06-07T05:19:44.479Z - [username8] - wanna scoop 50| (фэйл)
2021-06-07T06:19:44.479Z - [username4] - wanna top up 39| (успех)
2021-06-07T07:19:44.479Z - [username7] - wanna scoop 38| (успех)
2021-06-07T08:19:44.479Z - [username4] - wanna scoop 14| (фэйл)
2021-06-07T09:19:44.479Z - [username8] - wanna scoop 34| (фэйл)
2021-06-07T10:19:44.479Z - [username4] - wanna scoop 15| (фэйл)
2021-06-07T11:19:44.479Z - [username1] - wanna top up 26| (успех)
2021-06-07T12:19:44.479Z - [username1] - wanna scoop 34| (успех)
2021-06-07T13:19:44.479Z - [username7] - wanna top up 36| (успех)
2021-06-07T14:19:44.479Z - [username1] - wanna scoop 17| (успех)
2021-06-07T15:19:44.479Z - [username3] - wanna top up 29| (успех)
2021-06-07T16:19:44.479Z - [username5] - wanna top up 26| (фэйл)
2021-06-07T17:19:44.479Z - [username2] - wanna scoop 19| (успех)
2021-06-07T18:19:44.479Z - [username8] - wanna top up 46| (фэйл)
2021-06-07T19:19:44.479Z - [username8] - wanna scoop 28| (успех)
2021-06-07T20:19:44.479Z - [username3] - wanna top up 20| (успех)
2021-06-07T21:19:44.479Z - [username9] - wanna top up 50| (фэйл)
2021-06-07T22:19:44.479Z - [username1] - wanna top up 26| (успех)
2021-06-07T23:19:44.479Z - [username10] - wanna top up 33| (фэйл)
2021-06-08T00:19:44.479Z - [username1] - wanna top up 17| (фэйл)
2021-06-08T01:19:44.479Z - [username2] - wanna top up 12| (успех)
2021-06-08T02:19:44.479Z - [username9] - wanna scoop 43| (успех)
2021-06-08T03:19:44.479Z - [username10] - wanna top up 49| (фэйл)
2021-06-08T04:19:44.479Z - [username2] - wanna scoop 13| (успех)
2021-06-08T05:19:44.479Z - [username9] - wanna scoop 19| (фэйл)
2021-06-08T06:19:44.479Z - [username3] - wanna top up 43| (успех)
2021-06-08T07:19:44.479Z - [username4] - wanna scoop 12| (успех)
2021-06-08T08:19:44.479Z - [username9] - wanna top up 37| (фэйл)
2021-06-08T09:19:44.479Z - [username7] - wanna scoop 15| (успех)
2021-06-08T10:19:44.479Z - [username3] - wanna top up 17| (успех)
2021-06-08T11:19:44.479Z - [username3] - wanna scoop 50| (фэйл)
2021-06-08T12:19:44.479Z - [username3] - wanna top up 37| (фэйл)
2021-06-08T13:19:44.479Z - [username1] - wanna scoop 30| (успех)
2021-06-08T14:19:44.479Z - [username10] - wanna scoop 32| (фэйл)
2021-06-08T15:19:44.479Z - [username10] - wanna scoop 38| (фэйл)
2021-06-08T16:19:44.479Z - [username4] - wanna scoop 37| (фэйл)
2021-06-08T17:19:44.479Z - [username6] - wanna top up 36| (успех)
2021-06-08T18:19:44.479Z - [username4] - wanna scoop 26| (успех)
2021-06-08T19:19:44.479Z - [username4] - wanna top up 27| (успех)
2021-06-08T20:19:44.479Z - [username2] - wanna top up 24| (фэйл)
2021-06-08T21:19:44.479Z - [username2] - wanna top up 34| (фэйл)
2021-06-08T22:19:44.479Z - [username7] - wanna top up 43| (фэйл)
2021-06-08T23:19:44.479Z - [username7] - wanna top up 25| (фэйл)
2021-06-09T00:19:44.479Z - [username8] - wanna scoop 33| (успех)
2021-06-09T01:19:44.479Z - [username10] - wanna top up 17| (успех)
2021-06-09T02:19:44.479Z - [username6] - wanna scoop 42| (фэйл)
2021-06-09T03:19:44.479Z - [username8] - wanna top up 49| (фэйл)
2021-06-09T04:19:44.479Z - [username6] - wanna scoop 40| (фэйл)
2021-06-09T05:19:44.479Z - [username2] - wanna scoop 32| (фэйл)
2021-06-09T06:19:44.479Z - [username3] - wanna top up 32| (успех)
2021-06-09T07:19:44.479Z - [username4] - wanna top up 24| (фэйл)
2021-06-09T08:19:44.479Z - [username10] - wanna scoop 44| (успех)
2021-06-09T09:19:44.479Z - [username5] - wanna scoop 26| (фэйл)
2021-06-09T10:19:44.479Z - [username3] - wanna scoop 30| (фэйл)
2021-06-09T11:19:44.479Z - [username2] - wanna top up 48| (фэйл)
2021-06-09T12:19:44.479Z - [username8] - wanna scoop 30| (фэйл)
2021-06-09T13:19:44.479Z - [username5] - wanna top up 48| (фэйл)
2021-06-09T14:19:44.479Z - [username7] - wanna top up 45| (успех)
2021-06-09T15:19:44.479Z - [username6] - wanna top up 46| (фэйл)
2021-06-09T16:19:44.479Z - [username3] - wanna top up 10| (фэйл)
2021-06-09T17:19:44.479Z - [username7] - wanna scoop 50| (успех)
2021-06-09T18:19:44.479Z - [username6] - wanna top up 29| (успех)
2021-06-09T19:19:44.479Z - [username6] - wanna top up 45| (фэйл)
2021-06-09T20:19:44.479Z - [username10] - wanna scoop 21| (успех)
2021-06-09T21:19:44.479Z - [username7] - wanna top up 35| (успех)
2021-06-09T22:19:44.479Z - [username7] - wanna scoop 43| (успех)
2021-06-09T23:19:44.479Z - [username4] - wanna top up 41| (успех)
2021-06-10T00:19:44.479Z - [username7] - wanna scoop 39| (успех)
2021-06-10T01:19:44.479Z - [username7] - wanna top up 44| (успех)
2021-06-10T02:19:44.480Z - [username6] - wanna scoop 21| (успех)
2021-06-10T03:19:44.480Z - [username2] - wanna top up 19| (успех)
2021-06-10T04:19:44.480Z - [username9] - wanna scoop 38| (успех)
2021-06-10T05:19:44.480Z - [username7] - wanna top up 45| (успех)
2021-06-10T06:19:44.480Z - [username2] - wanna top up 29| (фэйл)
2021-06-10T07:19:44.480Z - [username3] - wanna scoop 16| (успех)
2021-06-10T08:19:44.480Z - [username10] - wanna top up 13| (успех)
2021-06-10T09:19:44.480Z - [username3] - wanna top up 31| (фэйл)
2021-06-10T10:19:44.480Z - [username3] - wanna scoop 15| (успех)
2021-06-10T11:19:44.480Z - [username10] - wanna top up 38| (фэйл)
2021-06-10T12:19:44.480Z - [username7] - wanna scoop 13| (успех)
2021-06-10T13:19:44.480Z - [username8] - wanna top up 34| (фэйл)
2021-06-10T14:19:44.480Z - [username8] - wanna top up 45| (фэйл)
2021-06-10T15:19:44.480Z - [username7] - wanna scoop 14| (успех)
2021-06-10T16:19:44.480Z - [username6] - wanna top up 30| (успех)
2021-06-10T17:19:44.480Z - [username6] - wanna top up 41| (фэйл)
2021-06-10T18:19:44.480Z - [username1] - wanna top up 42| (фэйл)
2021-06-10T19:19:44.480Z - [username9] - wanna scoop 40| (успех)
2021-06-10T20:19:44.480Z - [username10] - wanna top up 43| (успех)
2021-06-10T21:19:44.480Z - [username9] - wanna top up 43| (фэйл)
2021-06-10T22:19:44.480Z - [username3] - wanna top up 48| (фэйл)
2021-06-10T23:19:44.480Z - [username8] - wanna top up 42| (фэйл)
2021-06-11T00:19:44.480Z - [username7] - wanna scoop 27| (успех)
2021-06-11T01:19:44.480Z - [username8] - wanna top up 25| (успех)
2021-06-11T02:19:44.480Z - [username3] - wanna top up 11| (успех)
2021-06-11T03:19:44.480Z - [username2] - wanna top up 33| (фэйл)
2021-06-11T04:19:44.480Z - [username10] - wanna top up 24| (фэйл)
2021-06-11T05:19:44.480Z - [username1] - wanna top up 43| (фэйл)
2021-06-11T06:19:44.480Z - [username1] - wanna scoop 46| (успех)
2021-06-11T07:19:44.480Z - [username3] - wanna scoop 26| (фэйл)
2021-06-11T08:19:44.480Z - [username10] - wanna scoop 18| (фэйл)
2021-06-11T09:19:44.480Z - [username7] - wanna scoop 36| (фэйл)
2021-06-11T10:19:44.480Z - [username2] - wanna top up 13| (успех)
2021-06-11T11:19:44.480Z - [username10] - wanna scoop 45| (фэйл)
2021-06-11T12:19:44.480Z - [username7] - wanna scoop 32| (фэйл)
2021-06-11T13:19:44.480Z - [username8] - wanna scoop 36| (фэйл)
2021-06-11T14:19:44.480Z - [username3] - wanna scoop 11| (успех)
2021-06-11T15:19:44.480Z - [username1] - wanna top up 28| (успех)
2021-06-11T16:19:44.480Z - [username9] - wanna scoop 32| (успех)
2021-06-11T17:19:44.480Z - [username7] - wanna scoop 25| (фэйл)
2021-06-11T18:19:44.480Z - [username5] - wanna top up 50| (успех)
2021-06-11T19:19:44.480Z - [username1] - wanna top up 25| (фэйл)
2021-06-11T20:19:44.480Z - [username5] - wanna top up 37| (фэйл)
2021-06-11T21:19:44.480Z - [username5] - wanna scoop 17| (успех)
2021-06-11T22:19:44.480Z - [username9] - wanna scoop 13| (успех)
2021-06-11T23:19:44.480Z - [username3] - wanna scoop 49| (фэйл)
2021-06-12T00:19:44.480Z - [username10] - wanna scoop 35| (фэйл)
2021-06-12T01:19:44.480Z - [username8] - wanna scoop 41| (фэйл)
2021-06-12T02:19:44.480Z - [username2] - wanna top up 25| (успех)
2021-06-12T03:19:44.480Z - [username10] - wanna scoop 13| (успех)
2021-06-12T04:19:44.480Z - [username4] - wanna top up 43| (фэйл)
2021-06-12T05:19:44.480Z - [username10] - wanna scoop 10| (успех)
2021-06-12T06:19:44.480Z - [username8] - wanna top up 23| (успех)
2021-06-12T07:19:44.480Z - [username2] - wanna top up 45| (фэйл)
2021-06-12T08:19:44.480Z - [username10] - wanna scoop 12| (успех)
2021-06-12T09:19:44.480Z - [username9] - wanna scoop 36| (успех)
2021-06-12T10:19:44.480Z - [username10] - wanna top up 47| (успех)
2021-06-12T11:19:44.480Z - [username6] - wanna scoop 19| (успех)
2021-06-12T12:19:44.480Z - [username9] - wanna scoop 45| (фэйл)
2021-06-12T13:19:44.480Z - [username3] - wanna scoop 45| (фэйл)
2021-06-12T14:19:44.480Z - [username4] - wanna top up 14| (успех)
2021-06-12T15:19:44.480Z - [username3] - wanna scoop 17| (успех)
2021-06-12T16:19:44.480Z - [username4] - wanna scoop 14| (успех)
2021-06-12T17:19:44.480Z - [username2] - wanna scoop 45| (фэйл)
2021-06-12T18:19:44.480Z - [username4] - wanna scoop 27| (фэйл)
2021-06-12T19:19:44.480Z - [username5] - wanna top up 41| (успех)
2021-06-12T20:19:44.480Z - [username3] - wanna top up 13| (фэйл)
2021-06-12T21:19:44.480Z - [username7] - wanna top up 33| (фэйл)
2021-06-12T22:19:44.480Z - [username1] - wanna top up 31| (фэйл)
2021-06-12T23:19:44.480Z - [username5] - wanna scoop 33| (успех)
2021-06-13T00:19:44.480Z - [username2] - wanna scoop 32| (фэйл)
2021-06-13T01:19:44.480Z - [username4] - wanna top up 32| (успех)
2021-06-13T02:19:44.480Z - [username3] - wanna top up 42| (фэйл)
2021-06-13T03:19:44.480Z - [username9] - wanna scoop 14| (успех)
2021-06-13T04:19:44.480Z - [username1] - wanna top up 26| (фэйл)
2021-06-13T05:19:44.480Z - [username3] - wanna scoop 19| (успех)
2021-06-13T06:19:44.480Z - [username4] - wanna scoop 40| (фэйл)
2021-06-13T07:19:44.480Z - [username9] - wanna top up 17| (успех)
2021-06-13T08:19:44.480Z - [username1] - wanna top up 50| (фэйл)
2021-06-13T09:19:44.480Z - [username4] - wanna top up 40| (фэйл)
2021-06-13T10:19:44.480Z - [username9] - wanna scoop 41| (успех)
2021-06-13T11:19:44.480Z - [username3] - wanna top up 18| (успех)
2021-06-13T12:19:44.480Z - [username2] - wanna top up 40| (успех)
2021-06-13T13:19:44.480Z - [username1] - wanna top up 46| (фэйл)
2021-06-13T14:19:44.480Z - [username3] - wanna scoop 37| (успех)
2021-06-13T15:19:44.480Z - [username1] - wanna top up 43| (фэйл)
2021-06-13T16:19:44.480Z - [username1] - wanna top up 24| (успех)
2021-06-13T17:19:44.480Z - [username6] - wanna top up 32| (фэйл)
2021-06-13T18:19:44.480Z - [username1] - wanna top up 48| (фэйл)
2021-06-13T19:19:44.480Z - [username10] - wanna scoop 47| (успех)
2021-06-13T20:19:44.480Z - [username2] - wanna top up 47| (успех)
2021-06-13T21:19:44.480Z - [username10] - wanna top up 15| (успех)
2021-06-13T22:19:44.480Z - [username9] - wanna scoop 39| (успех)
2021-06-13T23:19:44.480Z - [username4] - wanna scoop 44| (фэйл)
2021-06-14T00:19:44.480Z - [username10] - wanna scoop 32| (фэйл)
2021-06-14T01:19:44.480Z - [username7] - wanna scoop 11| (успех)
2021-06-14T02:19:44.481Z - [username2] - wanna top up 15| (успех)
2021-06-14T03:19:44.481Z - [username1] - wanna scoop 27| (успех)
2021-06-14T04:19:44.481Z - [username2] - wanna scoop 31| (фэйл)
2021-06-14T05:19:44.481Z - [username4] - wanna top up 29| (успех)
2021-06-14T06:19:44.481Z - [username4] - wanna top up 11| (успех)
2021-06-14T07:19:44.481Z - [username8] - wanna top up 39| (фэйл)
2021-06-14T08:19:44.481Z - [username1] - wanna scoop 47| (фэйл)
2021-06-14T09:19:44.481Z - [username8] - wanna top up 27| (фэйл)
2021-06-14T10:19:44.481Z - [username10] - wanna scoop 32| (успех)
2021-06-14T11:19:44.481Z - [username5] - wanna scoop 39| (фэйл)
2021-06-14T12:19:44.481Z - [username6] - wanna scoop 12| (фэйл)
2021-06-14T13:19:44.481Z - [username4] - wanna scoop 11| (успех)
2021-06-14T14:19:44.481Z - [username6] - wanna top up 39| (успех)
2021-06-14T15:19:44.481Z - [username6] - wanna scoop 33| (успех)
2021-06-14T16:19:44.481Z - [username2] - wanna scoop 13| (фэйл)
2021-06-14T17:19:44.481Z - [username8] - wanna scoop 22| (фэйл)
2021-06-14T18:19:44.481Z - [username10] - wanna top up 20| (успех)
2021-06-14T19:19:44.481Z - [username4] - wanna top up 39| (успех)
2021-06-14T20:19:44.481Z - [username5] - wanna scoop 21| (успех)
2021-06-14T21:19:44.481Z - [username4] - wanna scoop 13| (успех)
2021-06-14T22:19:44.481Z - [username2] - wanna top up 24| (успех)
2021-06-14T23:19:44.481Z - [username9] - wanna scoop 41| (успех)
2021-06-15T00:19:44.481Z - [username1] - wanna top up 12| (успех)
2021-06-15T01:19:44.481Z - [username3] - wanna top up 21| (успех)
2021-06-15T02:19:44.481Z - [username10] - wanna top up 34| (фэйл)
2021-06-15T03:19:44.481Z - [username1] - wanna scoop 23| (успех)
2021-06-15T04:19:44.481Z - [username10] - wanna top up 50| (фэйл)
2021-06-15T05:19:44.481Z - [username5] - wanna top up 26| (успех)
2021-06-15T06:19:44.481Z - [username8] - wanna top up 28| (фэйл)
2021-06-15T07:19:44.481Z - [username9] - wanna top up 12| (успех)
2021-06-15T08:19:44.481Z - [username5] - wanna scoop 35| (успех)
2021-06-15T09:19:44.481Z - [username5] - wanna scoop 44| (фэйл)
2021-06-15T10:19:44.481Z - [username4] - wanna top up 32| (успех)
2021-06-15T11:19:44.481Z - [username4] - wanna scoop 36| (успех)
2021-06-15T12:19:44.481Z - [username8] - wanna scoop 12| (успех)
2021-06-15T13:19:44.481Z - [username1] - wanna top up 47| (успех)
2021-06-15T14:19:44.481Z - [username9] - wanna scoop 47| (успех)
2021-06-15T15:19:44.481Z - [username9] - wanna top up 35| (успех)
2021-06-15T16:19:44.481Z - [username6] - wanna top up 36| (фэйл)
2021-06-15T17:19:44.481Z - [username3] - wanna top up 28| (фэйл)
2021-06-15T18:19:44.481Z - [username8] - wanna scoop 46| (успех)
2021-06-15T19:19:44.481Z - [username8] - wanna top up 50| (успех)
2021-06-15T20:19:44.481Z - [username6] - wanna scoop 16| (успех)
2021-06-15T21:19:44.481Z - [username7] - wanna top up 46| (фэйл)
2021-06-15T22:19:44.481Z - [username7] - wanna top up 43| (фэйл)
2021-06-15T23:19:44.481Z - [username7] - wanna scoop 25| (успех)
2021-06-16T00:19:44.481Z - [username6] - wanna top up 50| (успех)
2021-06-16T01:19:44.481Z - [username3] - wanna scoop 43| (успех)
2021-06-16T02:19:44.481Z - [username9] - wanna scoop 28| (фэйл)
2021-06-16T03:19:44.481Z - [username3] - wanna top up 13| (успех)
2021-06-16T04:19:44.481Z - [username5] - wanna scoop 20| (успех)
2021-06-16T05:19:44.481Z - [username9] - wanna scoop 38| (фэйл)
2021-06-16T06:19:44.481Z - [username3] - wanna top up 15| (успех)
2021-06-16T07:19:44.481Z - [username6] - wanna scoop 22| (успех)
2021-06-16T08:19:44.481Z - [username1] - wanna scoop 19| (фэйл)
2021-06-16T09:19:44.481Z - [username9] - wanna top up 13| (успех)
2021-06-16T10:19:44.481Z - [username2] - wanna scoop 23| (фэйл)
2021-06-16T11:19:44.481Z - [username8] - wanna top up 28| (успех)
2021-06-16T12:19:44.481Z - [username2] - wanna scoop 38| (успех)
2021-06-16T13:19:44.481Z - [username2] - wanna top up 15| (успех)
2021-06-16T14:19:44.481Z - [username2] - wanna scoop 13| (успех)
2021-06-16T15:19:44.481Z - [username5] - wanna top up 29| (успех)
2021-06-16T16:19:44.481Z - [username1] - wanna scoop 35| (успех)
2021-06-16T17:19:44.481Z - [username4] - wanna scoop 40| (фэйл)
2021-06-16T18:19:44.481Z - [username9] - wanna top up 23| (успех)
2021-06-16T19:19:44.481Z - [username4] - wanna scoop 32| (фэйл)
2021-06-16T20:19:44.481Z - [username5] - wanna top up 11| (успех)
2021-06-16T21:19:44.481Z - [username9] - wanna scoop 25| (успех)
2021-06-16T22:19:44.481Z - [username8] - wanna scoop 45| (фэйл)
2021-06-16T23:19:44.481Z - [username7] - wanna scoop 25| (фэйл)
2021-06-17T00:19:44.481Z - [username7] - wanna scoop 42| (фэйл)
2021-06-17T01:19:44.481Z - [username1] - wanna scoop 41| (фэйл)
2021-06-17T02:19:44.481Z - [username5] - wanna top up 30| (успех)
2021-06-17T03:19:44.481Z - [username10] - wanna top up 49| (фэйл)
2021-06-17T04:19:44.481Z - [username5] - wanna top up 34| (фэйл)
2021-06-17T05:19:44.481Z - [username10] - wanna top up 46| (фэйл)
2021-06-17T06:19:44.481Z - [username9] - wanna scoop 46| (фэйл)
2021-06-17T07:19:44.481Z - [username8] - wanna top up 34| (фэйл)
2021-06-17T08:19:44.481Z - [username5] - wanna scoop 17| (успех)
2021-06-17T09:19:44.481Z - [username6] - wanna top up 22| (успех)
2021-06-17T10:19:44.481Z - [username6] - wanna scoop 40| (успех)
2021-06-17T11:19:44.481Z - [username1] - wanna top up 40| (успех)
2021-06-17T12:19:44.481Z - [username8] - wanna scoop 19| (успех)
2021-06-17T13:19:44.481Z - [username5] - wanna scoop 44| (фэйл)
2021-06-17T14:19:44.481Z - [username9] - wanna scoop 45| (фэйл)
2021-06-17T15:19:44.481Z - [username1] - wanna top up 45| (фэйл)
2021-06-17T16:19:44.481Z - [username3] - wanna top up 37| (успех)
2021-06-17T17:19:44.481Z - [username2] - wanna top up 35| (фэйл)
2021-06-17T18:19:44.481Z - [username6] - wanna top up 19| (фэйл)
2021-06-17T19:19:44.481Z - [username9] - wanna scoop 42| (успех)
2021-06-17T20:19:44.481Z - [username6] - wanna top up 33| (успех)
2021-06-17T21:19:44.481Z - [username4] - wanna top up 19| (фэйл)
2021-06-17T22:19:44.481Z - [username4] - wanna scoop 47| (успех)
2021-06-17T23:19:44.481Z - [username6] - wanna scoop 12| (фэйл)
2021-06-18T00:19:44.481Z - [username4] - wanna top up 37| (успех)
2021-06-18T01:19:44.481Z - [username4] - wanna top up 12| (успех)
2021-06-18T02:19:44.481Z - [username8] - wanna top up 38| (фэйл)
2021-06-18T03:19:44.481Z - [username7] - wanna top up 43| (фэйл)
2021-06-18T04:19:44.482Z - [username7] - wanna scoop 16| (успех)
2021-06-18T05:19:44.482Z - [username3] - wanna scoop 39| (успех)
2021-06-18T06:19:44.482Z - [username5] - wanna scoop 38| (фэйл)
2021-06-18T07:19:44.482Z - [username6] - wanna top up 47| (успех)
2021-06-18T08:19:44.482Z - [username4] - wanna scoop 14| (успех)
2021-06-18T09:19:44.482Z - [username6] - wanna top up 36| (фэйл)
2021-06-18T10:19:44.482Z - [username3] - wanna top up 43| (фэйл)
2021-06-18T11:19:44.482Z - [username5] - wanna top up 26| (успех)
2021-06-18T12:19:44.482Z - [username5] - wanna top up 10| (фэйл)
2021-06-18T13:19:44.482Z - [username9] - wanna scoop 44| (успех)
2021-06-18T14:19:44.482Z - [username4] - wanna top up 42| (успех)
2021-06-18T15:19:44.482Z - [username10] - wanna top up 49| (фэйл)
2021-06-18T16:19:44.482Z - [username8] - wanna top up 14| (фэйл)
2021-06-18T17:19:44.482Z - [username5] - wanna scoop 31| (успех)
2021-06-18T18:19:44.482Z - [username9] - wanna scoop 36| (фэйл)
2021-06-18T19:19:44.482Z - [username4] - wanna top up 30| (успех)
2021-06-18T20:19:44.482Z - [username9] - wanna scoop 45| (успех)
2021-06-18T21:19:44.482Z - [username6] - wanna scoop 38| (фэйл)
2021-06-18T22:19:44.482Z - [username7] - wanna scoop 41| (фэйл)
2021-06-18T23:19:44.482Z - [username4] - wanna top up 10| (успех)
2021-06-19T00:19:44.482Z - [username8] - wanna top up 20| (успех)
2021-06-19T01:19:44.482Z - [username4] - wanna scoop 12| (успех)
2021-06-19T02:19:44.482Z - [username2] - wanna top up 32| (успех)
2021-06-19T03:19:44.482Z - [username6] - wanna scoop 26| (успех)
2021-06-19T04:19:44.482Z - [username6] - wanna scoop 47| (фэйл)
2021-06-19T05:19:44.482Z - [username7] - wanna scoop 37| (фэйл)
2021-06-19T06:19:44.482Z - [username6] - wanna scoop 20| (успех)
2021-06-19T07:19:44.482Z - [username1] - wanna top up 37| (успех)
2021-06-19T08:19:44.482Z - [username2] - wanna top up 43| (фэйл)
2021-06-19T09:19:44.482Z - [username7] - wanna scoop 29| (успех)
2021-06-19T10:19:44.482Z - [username6] - wanna scoop 38| (фэйл)
2021-06-19T11:19:44.482Z - [username4] - wanna top up 18| (успех)
2021-06-19T12:19:44.482Z - [username10] - wanna top up 49| (фэйл)
2021-06-19T13:19:44.482Z - [username2] - wanna scoop 12| (успех)
2021-06-19T14:19:44.482Z - [username8] - wanna top up 25| (успех)
2021-06-19T15:19:44.482Z - [username10] - wanna top up 38| (фэйл)
2021-06-19T16:19:44.482Z - [username9] - wanna top up 18| (фэйл)
2021-06-19T17:19:44.482Z - [username2] - wanna top up 46| (фэйл)
2021-06-19T18:19:44.482Z - [username10] - wanna top up 30| (фэйл)
2021-06-19T19:19:44.482Z - [username6] - wanna scoop 43| (успех)
2021-06-19T20:19:44.482Z - [username2] - wanna scoop 45| (фэйл)
2021-06-19T21:19:44.482Z - [username10] - wanna scoop 25| (фэйл)
2021-06-19T22:19:44.482Z - [username9] - wanna top up 44| (успех)
2021-06-19T23:19:44.482Z - [username8] - wanna scoop 35| (успех)
2021-06-20T00:19:44.482Z - [username6] - wanna top up 13| (успех)
2021-06-20T01:19:44.482Z - [username4] - wanna top up 30| (успех)
2021-06-20T02:19:44.482Z - [username1] - wanna top up 32| (фэйл)
2021-06-20T03:19:44.482Z - [username3] - wanna scoop 37| (успех)
2021-06-20T04:19:44.482Z - [username10] - wanna scoop 40| (фэйл)
2021-06-20T05:19:44.482Z - [username9] - wanna scoop 43| (фэйл)
2021-06-20T06:19:44.482Z - [username2] - wanna scoop 21| (успех)
2021-06-20T07:19:44.482Z - [username3] - wanna top up 36| (успех)
2021-06-20T08:19:44.482Z - [username3] - wanna top up 18| (успех)
2021-06-20T09:19:44.482Z - [username2] - wanna scoop 21| (успех)
2021-06-20T10:19:44.482Z - [username5] - wanna scoop 39| (успех)
2021-06-20T11:19:44.482Z - [username10] - wanna scoop 15| (фэйл)
2021-06-20T12:19:44.482Z - [username1] - wanna scoop 23| (фэйл)
2021-06-20T13:19:44.482Z - [username10] - wanna scoop 43| (фэйл)
2021-06-20T14:19:44.482Z - [username4] - wanna scoop 50| (фэйл)
2021-06-20T15:19:44.482Z - [username2] - wanna scoop 43| (фэйл)
2021-06-20T16:19:44.482Z - [username5] - wanna scoop 46| (фэйл)
